Surate_N,Verset_N,Mot_N,Morpheme_N,MORPHEME,LEM,ROOT
2,179,6,2,>aloba`bi,>aloba`b,lbb
2,179,7,1,laEal~a,laEal~,
2,179,7,2,kumo,,
2,179,8,1,tat~aqu,{t~aqaY`,wqy
2,179,8,2,wna,,
2,180,1,1,kutiba,kataba,ktb
2,180,2,1,Ealayo,"EalaY`
",
2,180,2,2,kumo,,
2,180,3,1,<i*aA,"<i*aA
",
2,180,4,1,HaDara,HaDara,HDr
2,180,5,1,>aHada,>aHad,AHd
2,180,5,2,kumu,,
2,180,6,1,{lo,,
2,180,6,2,mawotu,mawot,mwt
2,180,7,1,<in,"<in
",
2,180,8,1,taraka,taraka,trk
2,180,9,1,xayorFA,xayor,xyr
2,180,10,1,{lo,,
2,180,10,2,waSiy~apu,waSiy~ap,wSy
2,180,11,1,li,,
2,180,11,2,lo,,
2,180,11,3,wa`lidayoni,waAlid,wld
2,180,12,1,wa,,
2,180,12,2,{lo,,
2,180,12,3,>aqorabiyna,>aqorab,qrb
2,180,13,1,bi,,
2,180,13,2,{lo,,
2,180,13,3,maEoruwfi,m~aEoruwf,Erf
2,180,14,1,Haq~FA,Haq~,Hqq
2,180,15,1,EalaY,"EalaY`
",
2,180,16,1,{lo,,
2,180,16,2,mut~aqiyna,mut~aqiyn,wqy
2,181,1,1,fa,,
2,181,1,2,man[,"man
",
2,181,2,1,bad~ala,bad~ala,bdl
2,181,2,2,"hu,",,
2,181,3,1,baEoda,baEod,"bEd
"
2,181,3,2,maA,"maA
",
2,181,4,1,samiEa,samiEa,smE
2,181,4,2,"hu,",,
2,181,5,1,fa,,
2,181,5,2,<in~a,<in~,
2,181,5,3,maA^,"maA
",
2,181,6,1,<ivomu,<ivom,Avm
2,181,6,2,"hu,",,
2,181,7,1,EalaY,"EalaY`
",
2,181,8,1,{l~a*iyna,{l~a*iY,
2,181,9,1,yubad~ilu,bad~ala,bdl
2,181,9,2,wna,,
2,181,9,3,"hu,^",,
2,181,10,1,<in~a,<in~,
2,181,11,1,{ll~aha,{ll~ah,Alh
2,181,12,1,samiyEN,samiyE,smE
2,181,13,1,EaliymN,Ealiym,Elm
2,182,1,1,fa,,
2,182,1,2,mano,"man
",
2,182,2,1,xaAfa,xaAfa,xwf
2,182,3,1,min,"min
",
2,182,4,1,m~uwSK,m~uwS,wSy
2,182,5,1,janafFA,janaf,jnf
2,182,6,1,>awo,">aw
",
2,182,7,1,<ivomFA,<ivom,Avm
2,182,8,1,fa,,
2,182,8,2,>aSolaHa,>aSolaHa,SlH
2,182,9,1,bayona,bayon,byn
2,182,9,2,humo,,
2,182,10,1,fa,,
2,182,10,2,laA^,laA,
2,182,11,1,<ivoma,<ivom,Avm
2,182,12,1,Ealayo,"EalaY`
",
2,182,12,2,hi,,
2,182,13,1,<in~a,<in~,
2,182,14,1,{ll~aha,{ll~ah,Alh
2,182,15,1,gafuwrN,gafuwr,gfr
2,182,16,1,r~aHiymN,r~aHiym,rHm
2,183,1,1,ya`^,,
2,183,1,2,>ay~uhaA,>ay~uhaA,
2,183,2,1,{l~a*iyna,{l~a*iY,
2,183,3,1,'aAmanu,'aAmana,Amn
2,183,3,2,wA@,,
2,183,4,1,kutiba,kataba,ktb
2,183,5,1,Ealayo,"EalaY`
",
2,183,5,2,kumu,,
2,183,6,1,{l,,
2,183,6,2,S~iyaAmu,SiyaAm,Swm
2,183,7,1,ka,,
2,183,7,2,maA,"maA
",
2,183,8,1,kutiba,kataba,ktb
2,183,9,1,EalaY,"EalaY`
",
2,183,10,1,{l~a*iyna,{l~a*iY,
2,183,11,1,min,"min
",
2,183,12,1,qaboli,qabol,qbl
2,183,12,2,kumo,,
2,183,13,1,laEal~a,laEal~,
2,183,13,2,kumo,,
2,183,14,1,tat~aqu,{t~aqaY`,wqy
2,183,14,2,wna,,
2,184,1,1,>ay~aAmFA,yawom,ywm
2,184,2,1,m~aEoduwda`tK,m~aEoduwdap,Edd
2,184,3,1,fa,,
2,184,3,2,man,"man
",
2,184,4,1,kaAna,kaAna,kwn
2,184,5,1,min,"min
",
2,184,5,2,kum,,
2,184,6,1,m~ariyDFA,m~ariyD,mrD
2,184,7,1,>awo,">aw
",
2,184,8,1,EalaY`,"EalaY`
",
2,184,9,1,safarK,safar,sfr
2,184,10,1,fa,,
2,184,10,2,Eid~apN,Eid~ap,Edd
2,184,11,1,m~ino,"min
",
2,184,12,1,>ay~aAmK,yawom,ywm
2,184,13,1,>uxara,A^xar,Axr
2,184,14,1,wa,,
2,184,14,2,EalaY,"EalaY`
",
2,184,15,1,{l~a*iyna,{l~a*iY,
2,184,16,1,yuTiyqu,yuTiyqu,Twq
2,184,16,2,wna,,
2,184,16,3,"hu,",,
2,184,17,1,fidoyapN,fidoyap,fdy
2,184,18,1,TaEaAmu,TaEaAm,TEm
2,184,19,1,misokiynK,misokiyn,skn
2,184,20,1,fa,,
2,184,20,2,man,"man
",
2,184,21,1,taTaw~aEa,taTaw~aEa,TwE
2,184,22,1,xayorFA,xayor,xyr
2,184,23,1,fa,,
2,184,23,2,huwa,,
2,184,24,1,xayorN,xayor,xyr
2,184,25,1,l~a,,
2,184,25,2,"hu,",,
2,184,26,1,wa,,
2,184,26,2,>an,">an
",
2,184,27,1,taSuwmu,yaSumo,Swm
2,184,27,2,wA@,,
2,184,28,1,xayorN,xayor,xyr
2,184,29,1,l~a,,
2,184,29,2,kumo,,
2,184,30,1,<in,"<in
",
2,184,31,1,kun,kaAna,kwn
2,184,31,2,tumo,,
2,184,32,1,taEolamu,Ealima,Elm
2,184,32,2,wna,,
2,185,1,1,$ahoru,$ahor,$hr
2,185,2,1,ramaDaAna,ramaDaAn,
2,185,3,1,{l~a*iY^,{l~a*iY,
2,185,4,1,>unzila,>anzala,nzl
2,185,5,1,fiy,"fiY
",
2,185,5,2,hi,,
2,185,6,1,{lo,,
2,185,6,2,quro'aAnu,quro'aAn,qrA
2,185,7,1,hudFY,hudFY,hdy
2,185,8,1,l~i,,
2,185,8,2,l,,
2,185,8,3,n~aAsi,n~aAs,nws
2,185,9,1,wa,,
2,185,9,2,bay~ina`tK,bay~inap,byn
2,185,10,1,m~ina,"min
",
2,185,11,1,{lo,,
2,185,11,2,hudaY`,hudFY,hdy
2,185,12,1,wa,,
2,185,12,2,{lo,,
2,185,12,3,furoqaAni,furoqaAn,frq
2,185,13,1,fa,,
2,185,13,2,man,"man
",
2,185,14,1,$ahida,$ahida,$hd
2,185,15,1,min,"min
",
2,185,15,2,kumu,,
2,185,16,1,{l,,
2,185,16,2,$~ahora,$ahor,$hr
2,185,17,1,fa,,
2,185,17,2,lo,,
2,185,17,3,yaSumo,yaSumo,Swm
2,185,17,4,hu,,
2,185,18,1,wa,,
2,185,18,2,man,"man
",
2,185,19,1,kaAna,kaAna,kwn
2,185,20,1,mariyDFA,m~ariyD,mrD
2,185,21,1,>awo,">aw
",
2,185,22,1,EalaY`,"EalaY`
",
2,185,23,1,safarK,safar,sfr
2,185,24,1,fa,,
2,185,24,2,Eid~apN,Eid~ap,Edd
2,185,25,1,m~ino,"min
",
2,185,26,1,>ay~aAmK,yawom,ywm
2,185,27,1,>uxara,A^xar,Axr
2,185,28,1,yuriydu,>araAda,rwd
2,185,29,1,{ll~ahu,{ll~ah,Alh
2,185,30,1,bi,,
2,185,30,2,kumu,,
2,185,31,1,{lo,,
2,185,31,2,yusora,yusor,ysr
2,185,32,1,wa,,
2,185,32,2,laA,"laA
",
2,185,33,1,yuriydu,>araAda,rwd
2,185,34,1,bi,,
2,185,34,2,kumu,,
2,185,35,1,{lo,,
2,185,35,2,Eusora,Eusor,Esr
2,185,36,1,wa,,
2,185,36,2,li,,
2,185,36,3,tukomilu,>akomalo,kml
2,185,36,4,wA@,,
2,185,37,1,{lo,,
2,185,37,2,Eid~apa,Eid~ap,Edd
2,185,38,1,wa,,
2,185,38,2,li,,
2,185,38,3,tukab~iru,kab~iro,kbr
2,185,38,4,wA@,,
2,185,39,1,{ll~aha,{ll~ah,Alh
2,185,40,1,EalaY`,"EalaY`
",
2,185,41,1,maA,"maA
",
2,185,42,1,hadaY`,hadaY,hdy
2,185,42,2,kumo,,
2,185,43,1,wa,,
2,185,43,2,laEal~a,laEal~,
2,185,43,3,kumo,,
2,185,44,1,ta$okuru,$akara,$kr
2,185,44,2,wna,,
2,186,1,1,wa,,
2,186,1,2,<i*aA,"<i*aA
",
2,186,2,1,sa>ala,sa>ala,sAl
2,186,2,2,ka,,
2,186,3,1,EibaAdi,Eabod,Ebd
2,186,3,2,Y,,
2,186,4,1,Ean~i,"Ean
",
2,186,4,2,Y,,
2,186,5,1,fa,,
2,186,5,2,<in~i,<in~,
2,186,5,3,Y,,
2,186,6,1,qariybN,qariyb,qrb
2,186,7,1,>ujiybu,>ujiybat,jwb
2,186,8,1,daEowapa,daEowap,dEw
2,186,9,1,{l,,
2,186,9,2,d~aAEi,d~aAE,dEw
2,186,10,1,<i*aA,"<i*aA
",
2,186,11,1,daEa,daEaA,dEw
2,186,11,2,A,,
2,186,11,3,ni,,
2,186,12,1,fa,,
2,186,12,2,lo,,
2,186,12,3,yasotajiybu,{sotajaAba,jwb
2,186,12,4,wA@,,
2,186,13,1,li,,
2,186,13,2,Y,,
2,186,14,1,wa,,
2,186,14,2,lo,,
2,186,14,3,yu&ominu,'aAmana,Amn
2,186,14,4,wA@,,
2,186,15,1,bi,,
2,186,15,2,Y,,
2,186,16,1,laEal~a,laEal~,
2,186,16,2,humo,,
2,186,17,1,yaro$udu,yaro$udu,r$d
2,186,17,2,wna,,
2,187,1,1,>uHil~a,>aHal~a,Hll
2,187,2,1,la,,
2,187,2,2,kumo,,
2,187,3,1,layolapa,layolap,lyl
2,187,4,1,{l,,
2,187,4,2,S~iyaAmi,SiyaAm,Swm
2,187,5,1,{l,,
2,187,5,2,r~afavu,rafav,rfv
2,187,6,1,<ilaY`,"<ilaY`
",
2,187,7,1,nisaA^}i,nisaA^',nsw
2,187,7,2,kumo,,
2,187,8,1,hun~a,,
2,187,9,1,libaAsN,libaAs,lbs
2,187,10,1,l~a,,
2,187,10,2,kumo,,
2,187,11,1,wa,,
2,187,11,2,>antumo,,
2,187,12,1,libaAsN,libaAs,lbs
2,187,13,1,l~a,,
2,187,13,2,hun~a,,
2,187,14,1,Ealima,Ealima,Elm
2,187,15,1,{ll~ahu,{ll~ah,Alh
2,187,16,1,>an~a,>an~,
2,187,16,2,kumo,,
2,187,17,1,kun,kaAna,kwn
2,187,17,2,tumo,,
2,187,18,1,taxotaAnu,yaxotaAnu,xwn
2,187,18,2,wna,,
2,187,19,1,>anfusa,nafos,nfs
2,187,19,2,kumo,,
2,187,20,1,fa,,
2,187,20,2,taAba,taAba,twb
2,187,21,1,Ealayo,"EalaY`
",
2,187,21,2,kumo,,
2,187,22,1,wa,,
2,187,22,2,EafaA,EafaA,Efw
2,187,23,1,Ean,"Ean
",
2,187,23,2,kumo,,
2,187,24,1,fa,,
2,187,24,2,{lo,,
2,187,24,3,_#a`na,_#a`n,
2,187,25,1,ba`$iru,ba`$iru,b$r
2,187,25,2,w,,
2,187,25,3,hun~a,,
2,187,26,1,wa,,
2,187,26,2,{botagu,{botagaY`,bgy
2,187,26,3,wA@,,
2,187,27,1,maA,"maA
",
2,187,28,1,kataba,kataba,ktb
2,187,29,1,{ll~ahu,{ll~ah,Alh
2,187,30,1,la,,
2,187,30,2,kumo,,
2,187,31,1,wa,,
2,187,31,2,kulu,>akala,Akl
2,187,31,3,wA@,,
2,187,32,1,wa,,
2,187,32,2,{$orabu,$ariba,$rb
2,187,32,3,wA@,,
2,187,33,1,Hat~aY`,"Hat~aY`
",
2,187,34,1,yatabay~ana,tabay~ana,byn
2,187,35,1,la,,
2,187,35,2,kumu,,
2,187,36,1,{lo,,
2,187,36,2,xayoTu,xayoT,xyT
2,187,37,1,{lo,,
2,187,37,2,>aboyaDu,>aboyaD,byD
2,187,38,1,mina,"min
",
2,187,39,1,{lo,,
2,187,39,2,xayoTi,xayoT,xyT
2,187,40,1,{lo,,
2,187,40,2,>asowadi,>asowad,swd
2,187,41,1,mina,"min
",
2,187,42,1,{lo,,
2,187,42,2,fajori,fajor,fjr
2,187,43,1,vum~a,"vum~
",
2,187,44,1,>atim~u,>atam~a,tmm
2,187,44,2,wA@,,
2,187,45,1,{l,,
2,187,45,2,S~iyaAma,SiyaAm,Swm
2,187,46,1,<ilaY,"<ilaY`
",
2,187,47,1,{l~a,,
2,187,47,2,yoli,layol,lyl
2,187,48,1,wa,,
2,187,48,2,laA,"laA
",
2,187,49,1,tuba`$iru,ba`$iru,b$r
2,187,49,2,w,,
2,187,49,3,hun~a,,
2,187,50,1,wa,,
2,187,50,2,>antumo,,
2,187,51,1,Ea`kifuwna,EaAkif,Ekf
2,187,52,1,fiY,"fiY
",
2,187,53,1,{lo,,
2,187,53,2,masa`jidi,masojid,sjd
2,187,54,1,tiloka,*a`lik,
2,187,55,1,Huduwdu,Huduwd,Hdd
2,187,56,1,{ll~ahi,{ll~ah,Alh
2,187,57,1,fa,,
2,187,57,2,laA,"laA
",
2,187,58,1,taqorabu,yaqorabu,qrb
2,187,58,2,w,,
2,187,58,3,haA,,
2,187,59,1,ka,,
2,187,59,2,*a`lika,*a`lik,
2,187,60,1,yubay~inu,bay~anu,byn
2,187,61,1,{ll~ahu,{ll~ah,Alh
2,187,62,1,'aAya`ti,'aAyap,Ayy
2,187,62,2,hi.,,
2,187,63,1,li,,
2,187,63,2,l,,
2,187,63,3,n~aAsi,n~aAs,nws
2,187,64,1,laEal~a,laEal~,
2,187,64,2,humo,,
2,187,65,1,yat~aqu,{t~aqaY`,wqy
2,187,65,2,wna,,
2,188,1,1,wa,,
2,188,1,2,laA,"laA
",
2,188,2,1,ta>okulu,>akala,Akl
2,188,2,2,w^A@,,
2,188,3,1,>amowa`la,maAl,mwl
2,188,3,2,kum,,
2,188,4,1,bayona,bayon,byn
2,188,4,2,kum,,
2,188,5,1,bi,,
2,188,5,2,{lo,,
2,188,5,3,ba`Tili,ba`Til,bTl
2,188,6,1,wa,,
2,188,6,2,tudolu,>adolaY`,dlw
2,188,6,3,wA@,,
2,188,7,1,bi,,
2,188,7,2,haA^,,
2,188,8,1,<ilaY,"<ilaY`
",
2,188,9,1,{lo,,
2,188,9,2,Huk~aAmi,Huk~aAm,Hkm
2,188,10,1,li,,
2,188,10,2,ta>okulu,>akala,Akl
2,188,10,3,wA@,,
2,188,11,1,fariyqFA,fariyq,frq
2,188,12,1,m~ino,"min
",
2,188,13,1,>amowa`li,maAl,mwl
2,188,14,1,{l,,
2,188,14,2,n~aAsi,n~aAs,nws
2,188,15,1,bi,,
2,188,15,2,{lo,,
2,188,15,3,<ivomi,<ivom,Avm
2,188,16,1,wa,,
2,188,16,2,>antumo,,
2,188,17,1,taEolamu,Ealima,Elm
2,188,17,2,wna,,
2,189,1,1,yaso_#alu,sa>ala,sAl
2,189,1,2,wna,,
2,189,1,3,ka,,
2,189,2,1,Eani,"Ean
",
2,189,3,1,{lo,,
2,189,3,2,>ahil~api,>ahil~ap,hll
2,189,4,1,qulo,qaAla,qwl
2,189,5,1,hiYa,,
2,189,6,1,mawa`qiytu,miyqa`t,wqt
2,189,7,1,li,,
2,189,7,2,l,,
2,189,7,3,n~aAsi,n~aAs,nws
2,189,8,1,wa,,
2,189,8,2,{lo,,
2,189,8,3,Haj~i,Haj~,Hjj
2,189,9,1,wa,,
2,189,9,2,layosa,l~ayosa,lys
2,189,10,1,{lo,,
2,189,10,2,bir~u,bir~,brr
2,189,11,1,bi,,
2,189,11,2,>an,">an
",
2,189,12,1,ta>otu,>ataY,Aty
2,189,12,2,wA@,,
2,189,13,1,{lo,,
2,189,13,2,buyuwta,bayot,byt
2,189,14,1,min,"min
",
2,189,15,1,Zuhuwri,Zahor,Zhr
2,189,15,2,haA,,
2,189,16,1,wa,,
2,189,16,2,la`kin~a,la`kin~,
2,189,17,1,{lo,,
2,189,17,2,bir~a,bir~,brr
2,189,18,1,mani,"man
",
2,189,19,1,{t~aqaY`,{t~aqaY`,wqy
2,189,20,1,wa,,
2,189,20,2,>otu,>ataY,Aty
2,189,20,3,wA@,,
2,189,21,1,{lo,,
2,189,21,2,buyuwta,bayot,byt
2,189,22,1,mino,"min
",
2,189,23,1,>abowa`bi,baAb,bwb
2,189,23,2,haA,,
2,189,24,1,wa,,
2,189,24,2,{t~aqu,{t~aqaY`,wqy
2,189,24,3,wA@,,
2,189,25,1,{ll~aha,{ll~ah,Alh
2,189,26,1,laEal~a,laEal~,
2,189,26,2,kumo,,
2,189,27,1,tufoliHu,>afolaHa,flH
2,189,27,2,wna,,
2,190,1,1,wa,,
2,190,1,2,qa`tilu,qa`tala,qtl
2,190,1,3,wA@,,
2,190,2,1,fiY,"fiY
",
2,190,3,1,sabiyli,sabiyl,sbl
2,190,4,1,{ll~ahi,{ll~ah,Alh
2,190,5,1,{l~a*iyna,{l~a*iY,
2,190,6,1,yuqa`tilu,qa`tala,qtl
2,190,6,2,wna,,
2,190,6,3,kumo,,
2,190,7,1,wa,,
2,190,7,2,laA,"laA
",
2,190,8,1,taEotadu,{EotadaY`,Edw
2,190,8,2,w^A@,,
2,190,9,1,<in~a,<in~,
2,190,10,1,{ll~aha,{ll~ah,Alh
2,190,11,1,laA,"laA
",
2,190,12,1,yuHib~u,>aHobabo,Hbb
2,190,13,1,{lo,,
2,190,13,2,muEotadiyna,muEotadiyn,Edw
2,191,1,1,wa,,
2,191,1,2,{qotulu,qatala,qtl
2,191,1,3,w,,
2,191,1,4,humo,,
2,191,2,1,Hayovu,Hayov,"Hyv
"
2,191,3,1,vaqifo,vuqifu,vqf
2,191,3,2,tumuw,,
2,191,3,3,humo,,
2,191,4,1,wa,,
2,191,4,2,>axoriju,>axoraja,xrj
2,191,4,3,w,,
2,191,4,4,hum,,
2,191,5,1,m~ino,"min
",
2,191,6,1,Hayovu,Hayov,Hyv
2,191,7,1,>axoraju,>axoraja,xrj
2,191,7,2,w,,
2,191,7,3,kumo,,
2,191,8,1,wa,,
2,191,8,2,{lo,,
2,191,8,3,fitonapu,fitonap,ftn
2,191,9,1,>a$ad~u,>a$ad~,$dd
2,191,10,1,mina,"min
",
2,191,11,1,{lo,,
2,191,11,2,qatoli,qatol,qtl
2,191,12,1,wa,,
2,191,12,2,laA,"laA
",
2,191,13,1,tuqa`tilu,qa`tala,qtl
2,191,13,2,w,,
2,191,13,3,humo,,
2,191,14,1,Einda,Eind,End
2,191,15,1,{lo,,
2,191,15,2,masojidi,masojid,sjd
2,191,16,1,{lo,,
2,191,16,2,HaraAmi,HaraAm,Hrm
2,191,17,1,Hat~aY`,"Hat~aY`
",
2,191,18,1,yuqa`tilu,qa`tala,qtl
2,191,18,2,w,,
2,191,18,3,kumo,,
2,191,19,1,fiy,"fiY
",
2,191,19,2,hi,,
2,191,20,1,fa,,
2,191,20,2,<in,"<in
",
2,191,21,1,qa`talu,qa`tala,qtl
2,191,21,2,w,,
2,191,21,3,kumo,,
2,191,22,1,fa,,
2,191,22,2,{qotulu,qatala,qtl
2,191,22,3,w,,
2,191,22,4,humo,,
2,191,23,1,ka,,
2,191,23,2,*a`lika,*a`lik,
2,191,24,1,jazaA^'u,jazaA^',jzy
2,191,25,1,{lo,,
2,191,25,2,ka`firiyna,ka`firuwn,kfr
2,192,1,1,fa,,
2,192,1,2,<ini,"<in
",
2,192,2,1,{ntaha,{ntahaY`,nhy
2,192,2,2,woA@,,
2,192,3,1,fa,,
2,192,3,2,<in~a,<in~,
2,192,4,1,{ll~aha,{ll~ah,Alh
2,192,5,1,gafuwrN,gafuwr,gfr
2,192,6,1,r~aHiymN,r~aHiym,rHm
2,193,1,1,wa,,
2,193,1,2,qa`tilu,qa`tala,qtl
2,193,1,3,w,,
2,193,1,4,humo,,
2,193,2,1,Hat~aY`,"Hat~aY`
",
2,193,3,1,laA,"laA
",
2,193,4,1,takuwna,kaAna,kwn
2,193,5,1,fitonapN,fitonap,ftn
2,193,6,1,wa,,
2,193,6,2,yakuwna,kaAna,kwn
2,193,7,1,{l,,
2,193,7,2,d~iynu,diyn,dyn
2,193,8,1,li,,
2,193,8,2,l~ahi,{ll~ah,Alh
2,193,9,1,fa,,
2,193,9,2,<ini,"<in
",
2,193,10,1,{ntaha,{ntahaY`,nhy
2,193,10,2,woA@,,
2,193,11,1,fa,,
2,193,11,2,laA,laA,
2,193,12,1,Eudowa`na,Eudowa`n,Edw
2,193,13,1,<il~aA,"<il~aA
",
2,193,14,1,EalaY,"EalaY`
",
2,193,15,1,{l,,
2,193,15,2,Z~a`limiyna,ZaAlim,Zlm
2,194,1,1,{l,,
2,194,1,2,$~ahoru,$ahor,$hr
2,194,2,1,{lo,,
2,194,2,2,HaraAmu,HaraAm,Hrm
2,194,3,1,bi,,
2,194,3,2,{l,,
2,194,3,3,$~ahori,$ahor,$hr
2,194,4,1,{lo,,
2,194,4,2,HaraAmi,HaraAm,Hrm
2,194,5,1,wa,,
2,194,5,2,{lo,,
2,194,5,3,Huruma`tu,Huruma`t,Hrm
2,194,6,1,qiSaASN,qiSaAS,qSS
2,194,7,1,fa,,
2,194,7,2,mani,"man
",
2,194,8,1,{EotadaY`,{EotadaY`,Edw
2,194,9,1,Ealayo,"EalaY`
",
2,194,9,2,kumo,,
2,194,10,1,fa,,
2,194,10,2,{Eotadu,{EotadaY`,Edw
2,194,10,3,wA@,,
2,194,11,1,Ealayo,"EalaY`
",
2,194,11,2,hi,,
2,194,12,1,bi,,
2,194,12,2,mivoli,mivol,mvl
2,194,13,1,maA,"maA
",
2,194,14,1,{EotadaY`,{EotadaY`,Edw
2,194,15,1,Ealayo,"EalaY`
",
2,194,15,2,kumo,,
2,194,16,1,wa,,
2,194,16,2,{t~aqu,{t~aqaY`,wqy
2,194,16,3,wA@,,
2,194,17,1,{ll~aha,{ll~ah,Alh
2,194,18,1,wa,,
2,194,18,2,{Eolamu,Ealima,Elm
2,194,18,3,w^A@,,
2,194,19,1,>an~a,>an~,
2,194,20,1,{ll~aha,{ll~ah,Alh
2,194,21,1,maEa,maE,
2,194,22,1,{lo,,
2,194,22,2,mut~aqiyna,mut~aqiyn,wqy
2,195,1,1,wa,,
2,195,1,2,>anfiqu,>anfaqa,nfq
2,195,1,3,wA@,,
2,195,2,1,fiY,"fiY
",
2,195,3,1,sabiyli,sabiyl,sbl
2,195,4,1,{ll~ahi,{ll~ah,Alh
2,195,5,1,wa,,
2,195,5,2,laA,"laA
",
2,195,6,1,tuloqu,>aloqaY`^,lqy
2,195,6,2,wA@,,
2,195,7,1,bi,,
2,195,7,2,>ayodiy,yad,ydy
2,195,7,3,kumo,,
2,195,8,1,<ilaY,"<ilaY`
",
2,195,9,1,{l,,
2,195,9,2,t~aholukapi,t~aholukap,hlk
2,195,10,1,wa,,
2,195,10,2,>aHosinu,>aHosana,Hsn
2,195,10,3,w^A@,,
2,195,11,1,<in~a,<in~,
2,195,12,1,{ll~aha,{ll~ah,Alh
2,195,13,1,yuHib~u,>aHobabo,Hbb
2,195,14,1,{lo,,
2,195,14,2,muHosiniyna,muHosin,Hsn
2,196,1,1,wa,,
2,196,1,2,>atim~u,>atam~a,tmm
2,196,1,3,wA@,,
2,196,2,1,{lo,,
2,196,2,2,Haj~a,Haj~,Hjj
2,196,3,1,wa,,
2,196,3,2,{lo,,
2,196,3,3,Eumorapa,Eumorap,Emr
2,196,4,1,li,,
2,196,4,2,l~ahi,{ll~ah,Alh
2,196,5,1,fa,,
2,196,5,2,<ino,"<in
",
2,196,6,1,>uHoSiro,>uHoSiru,HSr
2,196,6,2,tumo,,
2,196,7,1,fa,,
2,196,7,2,maA,"maA
",
2,196,8,1,{sotayosara,{sotayosara,ysr
2,196,9,1,mina,"min
",
2,196,10,1,{lo,,
2,196,10,2,hadoYi,hadoy,hdy
2,196,11,1,wa,,
2,196,11,2,laA,"laA
",
2,196,12,1,taHoliqu,taHoliqu,Hlq
2,196,12,2,wA@,,
2,196,13,1,ru'uwsa,ra>os,rAs
2,196,13,2,kumo,,
2,196,14,1,Hat~aY`,"Hat~aY`
",
2,196,15,1,yaboluga,balaga,blg
2,196,16,1,{lo,,
2,196,16,2,hadoYu,hadoy,hdy
2,196,17,1,maHil~a,maHil~,Hll
2,196,17,2,"hu,",,
2,196,18,1,fa,,
2,196,18,2,man,"man
",
2,196,19,1,kaAna,kaAna,kwn
2,196,20,1,min,"min
",
2,196,20,2,kum,,
2,196,21,1,m~ariyDFA,m~ariyD,mrD
2,196,22,1,>awo,">aw
",
2,196,23,1,bi,,
2,196,23,2,hi.^,,
2,196,24,1,>a*FY,>a*FY,A*y
2,196,25,1,m~in,"min
",
2,196,26,1,r~a>osi,ra>os,rAs
2,196,26,2,hi.,,
2,196,27,1,fa,,
2,196,27,2,fidoyapN,fidoyap,fdy
2,196,28,1,m~in,"min
",
2,196,29,1,SiyaAmK,SiyaAm,Swm
2,196,30,1,>awo,">aw
",
2,196,31,1,SadaqapK,Sadaqap,Sdq
2,196,32,1,>awo,">aw
",
2,196,33,1,nusukK,nusuk,nsk
2,196,34,1,fa,,
2,196,34,2,<i*aA^,"<i*aA
",
2,196,35,1,>amin,>amina,Amn
2,196,35,2,tumo,,
2,196,36,1,fa,,
2,196,36,2,man,"man
",
2,196,37,1,tamat~aEa,tamat~aEa,mtE
2,196,38,1,bi,,
2,196,38,2,{lo,,
2,196,38,3,Eumorapi,Eumorap,Emr
2,196,39,1,<ilaY,"<ilaY`
",
2,196,40,1,{lo,,
2,196,40,2,Haj~i,Haj~,Hjj
2,196,41,1,fa,,
2,196,41,2,maA,"maA
",
2,196,42,1,{sotayosara,{sotayosara,ysr
2,196,43,1,mina,"min
",
2,196,44,1,{lo,,
2,196,44,2,hadoYi,hadoy,hdy
2,196,45,1,fa,,
2,196,45,2,man,"man
",
2,196,46,1,l~amo,"lam
",
2,196,47,1,yajido,wajada,wjd
2,196,48,1,fa,,
2,196,48,2,SiyaAmu,SiyaAm,Swm
2,196,49,1,vala`vapi,vala`vap,vlv
2,196,50,1,>ay~aAmK,yawom,ywm
2,196,51,1,fiY,"fiY
",
2,196,52,1,{lo,,
2,196,52,2,Haj~i,Haj~,Hjj
2,196,53,1,wa,,
2,196,53,2,saboEapK,saboEap,sbE
2,196,54,1,<i*aA,"<i*aA
",
2,196,55,1,rajaEo,rajaEa,rjE
2,196,55,2,tumo,,
2,196,56,1,tiloka,*a`lik,
2,196,57,1,Ea$arapN,Ea$arap,E$r
2,196,58,1,kaAmilapN,kaAmilap,kml
2,196,59,1,*a`lika,*a`lik,
2,196,60,1,li,,
2,196,60,2,man,"man
",
2,196,61,1,l~amo,"lam
",
2,196,62,1,yakuno,kaAna,kwn
2,196,63,1,>aholu,>ahol,Ahl
2,196,63,2,"hu,",,
2,196,64,1,HaADiriY,HaADiriY,HDr
2,196,65,1,{lo,,
2,196,65,2,masojidi,masojid,sjd
2,196,66,1,{lo,,
2,196,66,2,HaraAmi,HaraAm,Hrm
2,196,67,1,wa,,
2,196,67,2,{t~aqu,{t~aqaY`,wqy
2,196,67,3,wA@,,
2,196,68,1,{ll~aha,{ll~ah,Alh
2,196,69,1,wa,,
2,196,69,2,{Eolamu,Ealima,Elm
2,196,69,3,w^A@,,
2,196,70,1,>an~a,>an~,
2,196,71,1,{ll~aha,{ll~ah,Alh
2,196,72,1,$adiydu,$adiyd,$dd
2,196,73,1,{lo,,
2,196,73,2,EiqaAbi,EiqaAb,Eqb
2,197,1,1,{lo,,
2,197,1,2,Haj~u,Haj~,Hjj
2,197,2,1,>a$ohurN,$ahor,$hr
2,197,3,1,m~aEoluwma`tN,m~aEoluwma`t,Elm
2,197,4,1,fa,,
2,197,4,2,man,"man
",
