Sourate_N,Verset_N,Verset_B,ROOTS
8,37,"li yamiyza {ll~ahu {lo xabiyva mina {l T~ay~ibi wa yajoEala {lo xabiyva baEoDa hu, EalaY` baEoDK fa yarokuma hu, jamiyEFA fa yajoEala hu, fiY jahan~ama >uw@la`^}ika humu {lo xa`siruwna", myz Alh  xbv   Tyb  jEl  xbv bED   bED  rkm  jmE  jEl       xsr
8,38,qul l~i l~a*iyna kafaru w^A@ <in yantahu wA@ yugofaro la hum m~aA qado salafa wa <in yaEuwdu wA@ fa qado maDato sun~atu {lo >aw~aliyna,qwl   kfr   nhy  gfr     slf   Ewd    mDy snn  Awl
8,39,"wa qa`tilu w humo Hat~aY` laA takuwna fitonapN wa yakuwna {l d~iynu kul~u hu, li l~ahi fa <ini {ntaha woA@ fa <in~a {ll~aha bi maA yaEomalu wna baSiyrN", qtl     kwn ftn  kwn  dyn kll   Alh   nhy    Alh   Eml  bSr
8,40,wa <in tawal~a woA@ fa {Eolamu w^A@ >an~a {ll~aha mawolaY` kumo niEoma {lo mawolaY` wa niEoma {l n~aSiyru,  wly   Elm   Alh wly  nEm  wly  nEm  nSr
8,41,"wa {Eolamu w^A@ >an~a maA ganimo tum m~in $aYo'K fa >an~a li l~ahi xumusa hu, wa li l r~asuwli wa li *iY {lo qurobaY` wa {lo yata`maY` wa {lo masa`kiyni wa {boni {l s~abiyli <in kun tumo 'aAman tum bi {ll~ahi wa maA^ >anzalo naA EalaY` Eabodi naA yawoma {lo furoqaAni yawoma {lotaqaY {lo jamoEaAni wa {ll~ahu EalaY` kul~i $aYo'K qadiyrN", Elm    gnm   $yA    Alh xms     rsl     qrb   ytm   skn  bny  sbl  kwn  Amn   Alh   nzl   Ebd  ywm  frq ywm lqy  jmE  Alh  kll $yA qdr
8,42,<i*o >antum bi {lo Eudowapi {l d~unoyaA wa hum bi {lo Eudowapi {lo quSowaY` wa {l r~akobu >asofala min kumo wa lawo tawaAEad t~umo la {xotalafo tumo fiY {lo miyEa`di wa la`kin l~i yaqoDiYa {ll~ahu >amorFA kaAna mafoEuwlFA l~i yaholika mano halaka Ean[ bay~inapK wa yaHoyaY` mano HaY~a Ean[ bay~inapK wa <in~a {ll~aha la samiyEN EaliymN,    Edw  dnw     Edw  qSw   rkb sfl     wEd   xlf    wEd    qDy Alh Amr kwn fEl  hlk  hlk  byn  Hyy  Hyy  byn   Alh  smE Elm
8,43,"<i*o yuriy ka humu {ll~ahu fiY manaAmi ka qaliylFA wa lawo >araY`ka humo kaviyrFA l~a fa$ilo tumo wa la tana`zaEo tumo fiY {lo >amori wa la`kin~a {ll~aha sal~ama <in~a hu, EaliymN[ bi *aAti {l S~uduwri", rAy   Alh  nwm  qll   rAy  kvr  f$l    nzE    Amr   Alh slm   Elm    Sdr
8,44,wa <i*o yuriy kumuw humo <i*i {lotaqayo tumo fiY^ >aEoyuni kumo qaliylFA wa yuqal~ilu kumo fiY^ >aEoyuni himo li yaqoDiYa {ll~ahu >amorFA kaAna mafoEuwlFA wa <ilaY {ll~ahi turojaEu {lo >umuwru,  rAy    lqy   Eyn  qll  qll   Eyn   qDy Alh Amr kwn fEl   Alh rjE  Amr
8,45,ya`^ >ay~uhaA {l~a*iyna 'aAmanu w^A@ <i*aA laqiy tumo fi}apF fa {vobutu wA@ wa {*okuru wA@ {ll~aha kaviyrFA l~aEal~a kumo tufoliHu wna,   Amn   lqy  fAy  vbt   *kr  Alh kvr   flH 
8,46,"wa >aTiyEu wA@ {ll~aha wa rasuwla hu, wa laA tana`zaEu wA@ fa tafo$alu wA@ wa ta*ohaba riyHu kumo wa {Sobiru w^A@ <in~a {ll~aha maEa {l S~a`biriyna", TwE  Alh  rsl    nzE   f$l   *hb rwH   Sbr   Alh   Sbr
8,47,wa laA takuwnu wA@ ka {l~a*iyna xaraju wA@ min diya`ri him baTarFA wa ri}aA^'a {l n~aAsi wa yaSud~u wna Ean sabiyli {ll~ahi wa {ll~ahu bi maA yaEomalu wna muHiyTN,  kwn    xrj   dwr  bTr  rAy  nws  Sdd   sbl Alh  Alh   Eml  HwT
8,48,wa <i*o zay~ana la humu {l $~ayoTa`nu >aEoma`la humo wa qaAla laA gaAliba la kumu {lo yawoma mina {l n~aAsi wa <in~i Y jaArN l~a kumo fa lam~aA taraA^'ati {lo fi}ataAni nakaSa EalaY` Eaqibayo hi wa qaAla <in~i Y bariY^'N m~in kumo <in~i Y^ >araY` maA laA tara wona <in~i Y^ >axaAfu {ll~aha wa {ll~ahu $adiydu {lo EiqaAbi,  zyn    $Tn Eml   qwl  glb    ywm   nws    jwr     rAy  fAy nkS  Eqb   qwl   brA     rAy   rAy    xwf Alh  Alh $dd  Eqb
8,49,<i*o yaquwlu {lo muna`fiquwna wa {l~a*iyna fiY quluwbi him m~araDN gar~a ha`^&ulaA^'i diynu humo wa man yatawak~alo EalaY {ll~ahi fa <in~a {ll~aha EaziyzN HakiymN, qwl  nfq    qlb  mrD grr  dyn    wkl  Alh   Alh Ezz Hkm
8,50,wa lawo taraY`^ <i*o yatawaf~aY {l~a*iyna kafaru wA@ {lo mala`^}ikapu yaDoribu wna wujuwha humo wa >adoba`ra humo wa *uwqu wA@ Ea*aAba {lo Hariyqi,  rAy  wfy  kfr   mlk Drb  wjh   dbr   *wq  E*b  Hrq
8,51,*a`lika bi maA qad~amato >ayodiy kumo wa >an~a {ll~aha layosa bi Zal~a`mK l~i lo Eabiydi,   qdm ydy    Alh lys  Zlm   Ebd
8,52,ka da>obi 'aAli firoEawona wa {l~a*iyna min qaboli himo kafaru wA@ bi _#aAya`ti {ll~ahi fa >axa*a humu {ll~ahu bi *unuwbi himo <in~a {ll~aha qawiY~N $adiydu {lo EiqaAbi, dAb Awl     qbl  kfr   Ayy Alh  Ax*  Alh  *nb   Alh qwy $dd  Eqb
8,53,*a`lika bi >an~a {ll~aha lamo yaku mugay~irFA n~iEomapF >anoEama haA EalaY` qawomK Hat~aY` yugay~iru wA@ maA bi >anfusi himo wa >an~a {ll~aha samiyEN EaliymN,   Alh  kwn gyr nEm nEm   qwm  gyr    nfs    Alh smE Elm
8,54,ka da>obi 'aAli firoEawona wa {l~a*iyna min qaboli himo ka*~abu wA@ bi _#aAya`ti rab~i himo fa >aholako na` hum bi *unuwbi himo wa >agoraqo naA^ 'aAla firoEawona wa kul~N kaAnu wA@ Za`limiyna, dAb Awl     qbl  k*b   Ayy rbb   hlk    *nb   grq  Awl   kll kwn  Zlm
8,55,<in~a $ar~a {l d~awaA^b~i Einda {ll~ahi {l~a*iyna kafaru wA@ fa humo laA yu&ominu wna, $rr  dbb End Alh  kfr     Amn 
8,56,{l~a*iyna Ea`had t~a mino humo vum~a yanquDu wna Eahoda humo fiY kul~i mar~apK wa humo laA yat~aqu wna, Ehd     nqD  Ehd   kll mrr    wqy 
8,57,fa <i m~aA tavoqafa n~a humo fiY {lo Harobi fa $ar~ido bi him m~ano xalofa humo laEal~a humo ya*~ak~aru wna,   vqf     Hrb  $rd    xlf    *kr 
8,58,wa <i m~aA taxaAfa n~a min qawomK xiyaAnapF fa {n[bi*o <ilayo himo EalaY` sawaA^'K <in~a {ll~aha laA yuHib~u {lo xaA^}iniyna,   xwf   qwm xwn  nb*    swy  Alh  Hbb  xwn
8,59,wa laA yaHosaba n~a {l~a*iyna kafaru wA@ sabaqu w^A@ <in~a humo laA yuEojizu wna,  Hsb   kfr  sbq     Ejz 
8,60,wa >aEid~u wA@ la hum m~aA {sotaTaEo tum m~in quw~apK wa min r~ibaATi {lo xayoli turohibu wna bi hi. Eaduw~a {ll~ahi wa Eaduw~a kumo wa 'aAxariyna min duwni himo laA taEolamu wna humu {ll~ahu yaEolamu humo wa maA tunfiqu wA@ min $aYo'K fiY sabiyli {ll~ahi yuwaf~a <ilayo kumo wa >antumo laA tuZolamu wna, Edd     TwE   qwy   rbT  xyl rhb    Edw Alh  Edw   Axr  dwn   Elm   Alh Elm    nfq   $yA  sbl Alh wfy      Zlm 
8,61,"wa <in janaHu wA@ li l s~alomi fa {jonaHo la haA wa tawak~alo EalaY {ll~ahi <in~a hu, huwa {l s~amiyEu {lo Ealiymu",  jnH    slm  jnH    wkl  Alh     smE  Elm
8,62,wa <in yuriydu w^A@ >an yaxodaEu w ka fa <in~a Hasoba ka {ll~ahu huwa {l~a*iY^ >ay~ada ka bi naSori hi. wa bi {lo mu&ominiyna,  rwd   xdE     Hsb  Alh   Ayd   nSr     Amn
8,63,"wa >al~afa bayona quluwbi himo lawo >anfaqo ta maA fiY {lo >aroDi jamiyEFA m~aA^ >al~afo ta bayona quluwbi himo wa la`kin~a {ll~aha >al~afa bayona humo <in~a hu, EaziyzN HakiymN", Alf byn qlb   nfq     ArD jmE  Alf  byn qlb    Alh Alf byn    Ezz Hkm
8,64,ya`^ >ay~uhaA {l n~abiY~u Hasobu ka {ll~ahu wa mani {t~abaEa ka mina {lo mu&ominiyna,   nbA Hsb  Alh   tbE    Amn
8,65,ya`^ >ay~uhaA {l n~abiY~u Har~iDi {lo mu&ominiyna EalaY {lo qitaAli <in yakun m~in kumo Ei$oruwna Sa`biruwna yagolibu wA@ miA@}atayoni wa <in yakun m~in kum m~iA@}apN yagolibu w^A@ >alofFA m~ina {l~a*iyna kafaru wA@ bi >an~a humo qawomN l~aA yafoqahu wna,   nbA HrD  Amn   qtl  kwn   E$r Sbr glb  mAy   kwn   mAy glb  Alf   kfr     qwm  fqh 
8,66,{lo _#a`na xaf~afa {ll~ahu Ean kumo wa Ealima >an~a fiy kumo DaEofFA fa <in yakun m~in kum m~iA@}apN SaAbirapN yagolibu wA@ miA@}atayoni wa <in yakun m~in kumo >alofN yagolibu w^A@ >alofayoni bi <i*oni {ll~ahi wa {ll~ahu maEa {l S~a`biriyna,  xff Alh    Elm    DEf   kwn   mAy Sbr glb  mAy   kwn   Alf glb  Alf  A*n Alh  Alh   Sbr
8,67,"maA kaAna li nabiY~K >an yakuwna la hu,^ >asoraY` Hat~aY` yuvoxina fiY {lo >aroDi turiydu wna EaraDa {l d~unoyaA wa {ll~ahu yuriydu {lo 'aAxirapa wa {ll~ahu EaziyzN HakiymN", kwn  nbA  kwn   Asr  vxn   ArD rwd  ErD  dnw  Alh rwd  Axr  Alh Ezz Hkm
8,68,l~awolaA kita`bN m~ina {ll~ahi sabaqa la mas~a kumo fiy maA^ >axa*o tumo Ea*aAbN EaZiymN, ktb  Alh sbq  mss    Ax*  E*b EZm
8,69,fa kulu wA@ mi m~aA ganimo tumo Hala`lFA Tay~ibFA wa {t~aqu wA@ {ll~aha <in~a {ll~aha gafuwrN r~aHiymN, Akl    gnm  Hll Tyb  wqy  Alh  Alh gfr rHm
8,70,ya`^ >ay~uhaA {l n~abiY~u qul l~i man fiY^ >ayodiy kum m~ina {lo >asoraY`^ <in yaEolami {ll~ahu fiY quluwbi kumo xayorFA yu&oti kumo xayorFA m~i m~aA^ >uxi*a min kumo wa yagofiro la kumo wa {ll~ahu gafuwrN r~aHiymN,   nbA qwl    ydy    Asr  Elm Alh  qlb  xyr Aty  xyr   Ax*    gfr    Alh gfr rHm
8,71,wa <in yuriydu wA@ xiyaAnata ka fa qado xaAnu wA@ {ll~aha min qabolu fa >amokana mino humo wa {ll~ahu EaliymN HakiymN,  rwd  xwn    xwn  Alh  qbl  mkn    Alh Elm Hkm
8,72,<in~a {l~a*iyna 'aAmanu wA@ wa haAjaru wA@ wa ja`hadu wA@ bi >amowa`li himo wa >anfusi himo fiY sabiyli {ll~ahi wa {l~a*iyna 'aAwa wA@ w~a naSaru w^A@ >uw@la`^}ika baEoDu humo >awoliyaA^'u baEoDK wa {l~a*iyna 'aAmanu wA@ wa lamo yuhaAjiru wA@ maA la kum m~in wala`yati him m~in $aYo'K Hat~aY` yuhaAjiru wA@ wa <ini {sotanSaru w kumo fiY {l d~iyni fa Ealayo kumu {l n~aSoru <il~aA EalaY` qawomK] bayona kumo wa bayona hum m~iyva`qN wa {ll~ahu bi maA taEomalu wna baSiyrN,  Amn   hjr   jhd   mwl   nfs   sbl Alh   Awy   nSr   bED  wly bED   Amn    hjr      wly   $yA  hjr    nSr     dyn     nSr   qwm byn   byn  wvq  Alh   Eml  bSr
8,73,wa {l~a*iyna kafaru wA@ baEoDu humo >awoliyaA^'u baEoDK <i l~aA tafoEalu w hu takun fitonapN fiY {lo >aroDi wa fasaAdN kabiyrN,  kfr  bED  wly bED   fEl   kwn ftn   ArD  fsd kbr
8,74,wa {l~a*iyna 'aAmanu wA@ wa haAjaru wA@ wa ja`hadu wA@ fiY sabiyli {ll~ahi wa {l~a*iyna 'aAwa wA@ w~a naSaru w^A@ >uw@la`^}ika humu {lo mu&ominuwna Haq~FA l~a hum m~agofirapN wa rizoqN kariymN,  Amn   hjr   jhd   sbl Alh   Awy   nSr     Amn Hqq   gfr  rzq krm
8,75,wa {l~a*iyna 'aAmanu wA@ min[ baEodu wa haAjaru wA@ wa ja`hadu wA@ maEa kumo fa >uw@la`^}ika min kumo wa >uw@luwA@ {lo >aroHaAmi baEoDu humo >awolaY` bi baEoDK fiY kita`bi {ll~ahi <in~a {ll~aha bi kul~i $aYo'K EaliymN[,  Amn   bEd  hjr   jhd         Awl  rHm bED  wly  bED  ktb Alh  Alh  kll $yA Elm
9,1,baraA^'apN m~ina {ll~ahi wa rasuwli hi.^ <ilaY {l~a*iyna Ea`had t~um m~ina {lo mu$orikiyna,brA  Alh  rsl    Ehd    $rk
9,2,fa siyHu wA@ fiY {lo >aroDi >arobaEapa >a$ohurK wa {Eolamu w^A@ >an~a kumo gayoru muEojiziY {ll~ahi wa >an~a {ll~aha muxoziY {lo ka`firiyna, syH    ArD rbE $hr  Elm    gyr Ejz Alh   Alh xzy  kfr
9,3,"wa >a*a`nN m~ina {ll~ahi wa rasuwli hi.^ <ilaY {l n~aAsi yawoma {lo Haj~i {lo >akobari >an~a {ll~aha bariY^'N m~ina {lo mu$orikiyna wa rasuwlu hu, fa <in tubo tumo fa huwa xayorN l~a kumo wa <in tawal~ayo tumo fa {Eolamu w^A@ >an~a kumo gayoru muEojiziY {ll~ahi wa ba$~iri {l~a*iyna kafaru wA@ bi Ea*aAbK >aliymK", A*n  Alh  rsl    nws ywm  Hjj  kbr  Alh brA   $rk  rsl    twb    xyr     wly   Elm    gyr Ejz Alh  b$r  kfr   E*b Alm
9,4,<il~aA {l~a*iyna Ea`had t~um m~ina {lo mu$orikiyna vum~a lamo yanquSu w kumo $ayo_#FA wa lamo yuZa`hiru wA@ Ealayo kumo >aHadFA fa >atim~u w^A@ <ilayo himo Eahoda humo <ilaY` mud~ati himo <in~a {ll~aha yuHib~u {lo mut~aqiyna,  Ehd    $rk   nqS   $yA   Zhr    AHd  tmm    Ehd   mdd   Alh Hbb  wqy
9,5,fa <i*aA {nsalaxa {lo >a$ohuru {lo Hurumu fa {qotulu wA@ {lo mu$orikiyna Hayovu wajad t~umuw humo wa xu*u w humo wa {HoSuru w humo wa {qoEudu wA@ la humo kul~a maroSadK fa <in taAbu wA@ wa >aqaAmu wA@ {l S~alaw`pa wa 'aAta wuA@ {l z~akaw`pa fa xal~u wA@ sabiyla humo <in~a {ll~aha gafuwrN r~aHiymN,"  slx  $hr  Hrm  qtl   $rk Hyv
 wjd    Ax*    HSr    qEd    kll rSd   twb   qwm   Slw  Aty   zkw  xlw  sbl   Alh gfr rHm"
9,6,"wa <ino >aHadN m~ina {lo mu$orikiyna {sotajaAra ka fa >ajiro hu Hat~aY` yasomaEa kala`ma {ll~ahi vum~a >aboligo hu ma>omana hu, *a`lika bi >an~a humo qawomN l~aA yaEolamu wna",  AHd   $rk jwr   jwr   smE klm Alh  blg  Amn      qwm  Elm 
9,7,kayofa yakuwnu li lo mu$orikiyna EahodN Einda {ll~ahi wa Einda rasuwli hi.^ <il~aA {l~a*iyna Ea`had t~umo Einda {lo masojidi {lo HaraAmi fa maA {sotaqa`mu wA@ la kumo fa {sotaqiymu wA@ la humo <in~a {ll~aha yuHib~u {lo mut~aqiyna,"kyf
 kwn   $rk Ehd End Alh  End rsl    Ehd  End  sjd  Hrm   qwm     qwm     Alh Hbb  wqy"
9,8,kayofa wa <in yaZoharu wA@ Ealayo kumo laA yaroqubu wA@ fiy kumo <il~FA wa laA *im~apF yuroDu wna kum bi >afowa`hi himo wa ta>obaY` quluwbu humo wa >akovaru humo fa`siquwna,"kyf
   Zhr     rqb    All   *mm rDw    fwh   Aby qlb   kvr  fsq"
9,9,{$otara woA@ bi _#aAya`ti {ll~ahi vamanFA qaliylFA fa Sad~u wA@ Ean sabiyli hi.^ <in~a humo saA^'a maA kaAnu wA@ yaEomalu wna,$ry   Ayy Alh vmn qll  Sdd   sbl    swA  kwn  Eml 
9,10,laA yaroqubu wna fiY mu&ominK <il~FA wa laA *im~apF wa >uw@la`^}ika humu {lo muEotaduwna, rqb   Amn All   *mm     Edw
9,11,fa <in taAbu wA@ wa >aqaAmu wA@ {l S~alaw`pa wa 'aAta wuA@ {l z~akaw`pa fa <ixowa`nu kumo fiY {l d~iyni wa nufaS~ilu {lo 'aAya`ti li qawomK yaEolamu wna,  twb   qwm   Slw  Aty   zkw  Axw    dyn  fSl  Ayy  qwm Elm 
9,12,wa <in n~akavu w^A@ >ayoma`na hum m~in[ baEodi Eahodi himo wa TaEanu wA@ fiY diyni kumo fa qa`tilu w^A@ >a}im~apa {lo kufori <in~a humo laA^ >ayoma`na la humo laEal~a humo yantahu wna,  nkv  ymn   bEd Ehd   TEn   dyn   qtl  Amm  kfr    ymn     nhy 
9,13,>a laA tuqa`tilu wna qawomFA n~akavu w^A@ >ayoma`na humo wa ham~u wA@ bi <ixoraAji {l r~asuwli wa hum bada'u w kumo >aw~ala mar~apK >a taxo$a wona humo fa {ll~ahu >aHaq~u >an taxo$a wo hu <in kun tum m~u&ominiyna,  qtl  qwm nkv  ymn   hmm   xrj  rsl   bdA   Awl mrr  x$y    Alh Hqq  x$y    kwn  Amn
9,14,qa`tilu w humo yuEa*~ibo humu {ll~ahu bi >ayodiy kumo wa yuxozi himo wa yanSuro kumo Ealayo himo wa ya$ofi Suduwra qawomK m~u&ominiyna,qtl   E*b  Alh  ydy   xzy   nSr     $fy Sdr qwm Amn
9,15,wa yu*ohibo gayoZa quluwbi himo wa yatuwbu {ll~ahu EalaY` man ya$aA^'u wa {ll~ahu EaliymN HakiymN, *hb gyZ qlb   twb Alh   $yA  Alh Elm Hkm
9,16,>amo Hasibo tumo >an tutoraku wA@ wa lam~aA yaEolami {ll~ahu {l~a*iyna ja`hadu wA@ min kumo wa lamo yat~axi*u wA@ min duwni {ll~ahi wa laA rasuwli hi. wa laA {lo mu&ominiyna waliyjapF wa {ll~ahu xabiyrN[ bi maA taEomalu wna, Hsb   trk    Elm Alh  jhd      Ax*   dwn Alh   rsl     Amn wlj  Alh xbr   Eml 
9,17,maA kaAna li lo mu$orikiyna >an yaEomuru wA@ masa`jida {ll~ahi $a`hidiyna EalaY`^ >anfusi him bi {lo kufori >uw@la`^}ika HabiTato >aEoma`lu humo wa fiY {l n~aAri humo xa`liduwna, kwn   $rk  Emr  sjd Alh $hd  nfs    kfr  HbT Eml     nwr  xld
9,18,<in~a maA yaEomuru masa`jida {ll~ahi mano 'aAmana bi {ll~ahi wa {lo yawomi {lo 'aAxiri wa >aqaAma {l S~alaw`pa wa 'aAtaY {l z~akaw`pa wa lamo yaxo$a <il~aA {ll~aha fa EasaY`^ >uw@la`^}ika >an yakuwnu wA@ mina {lo muhotadiyna,  Emr sjd Alh  Amn  Alh   ywm  Axr  qwm  Slw  Aty  zkw   x$y  Alh  Esy   kwn    hdy
9,19,">a jaEalo tumo siqaAyapa {lo HaA^j~i wa EimaArapa {lo masojidi {lo HaraAmi ka mano 'aAmana bi {ll~ahi wa {lo yawomi {lo 'aAxiri wa ja`hada fiY sabiyli {ll~ahi laA yasota wu,na Einda {ll~ahi wa {ll~ahu laA yahodiY {lo qawoma {l Z~a`limiyna", jEl  sqy  Hjj  Emr  sjd  Hrm   Amn  Alh   ywm  Axr  jhd  sbl Alh  swy  End Alh  Alh  hdy  qwm  Zlm
9,20,{l~a*iyna 'aAmanu wA@ wa haAjaru wA@ wa ja`hadu wA@ fiY sabiyli {ll~ahi bi >amowa`li himo wa >anfusi himo >aEoZamu darajapF Einda {ll~ahi wa >uw@la`^}ika humu {lo faA^}izuwna, Amn   hjr   jhd   sbl Alh  mwl   nfs  EZm drj End Alh     fwz
9,21,yuba$~iru humo rab~u hum bi raHomapK m~ino hu wa riDowa`nK wa jan~a`tK l~a humo fiy haA naEiymN m~uqiymN,b$r  rbb   rHm    rDw  jnn     nEm qwm
9,22,"xa`lidiyna fiy haA^ >abadFA <in~a {ll~aha Einda hu,^ >ajorN EaZiymN",xld   Abd  Alh End  Ajr EZm
9,23,ya`^ >ay~uhaA {l~a*iyna 'aAmanu wA@ laA tat~axi*u w^A@ 'aAbaA^'a kumo wa <ixowa`na kumo >awoliyaA^'a <ini {sotaHab~u wA@ {lo kufora EalaY {lo <iyma`ni wa man yatawal~a hum m~in kumo fa >uw@la`^}ika humu {l Z~a`limuwna,   Amn   Ax*  Abw   Axw  wly  Hbb   kfr   Amn   wly        Zlm
9,24,qulo <in kaAna 'aAbaA^&u kumo wa >abonaA^&u kumo wa <ixowa`nu kumo wa >azowa`ju kumo wa Ea$iyratu kumo wa >amowa`lN {qotarafo tumuw haA wa tija`rapN taxo$a wona kasaAda haA wa masa`kinu taroDa wona haA^ >aHab~a <ilayo kum m~ina {ll~ahi wa rasuwli hi. wa jihaAdK fiY sabiyli hi. fa tarab~aSu wA@ Hat~aY` ya>otiYa {ll~ahu bi >amori hi. wa {ll~ahu laA yahodiY {lo qawoma {lo fa`siqiyna,qwl  kwn Abw   bny   Axw   zwj   E$r   mwl qrf    tjr x$y  ksd   skn rDw   Hbb    Alh  rsl   jhd  sbl   rbS   Aty Alh  Amr   Alh  hdy  qwm  fsq
9,25,la qado naSara kumu {ll~ahu fiY mawaATina kaviyrapK wa yawoma HunayonK <i*o >aEojabato kumo kavoratu kumo fa lamo tugoni Ean kumo $ayo_#FA wa DaAqato Ealayo kumu {lo >aroDu bi maA raHubato vum~a wal~ayo tum m~udobiriyna,  nSr  Alh  wTn kvr  ywm   Ejb  kvr    gny   $yA  Dyq    ArD   rHb  wly  dbr
9,26,"vum~a >anzala {ll~ahu sakiynata hu, EalaY` rasuwli hi. wa EalaY {lo mu&ominiyna wa >anzala junuwdFA l~amo tara wo haA wa Ea*~aba {l~a*iyna kafaru wA@ wa *a`lika jazaA^'u {lo ka`firiyna", nzl Alh skn   rsl     Amn  nzl jnd  rAy    E*b  kfr    jzy  kfr
9,27,vum~a yatuwbu {ll~ahu min[ baEodi *a`lika EalaY` man ya$aA^'u wa {ll~ahu gafuwrN r~aHiymN, twb Alh  bEd    $yA  Alh gfr rHm
9,28,ya`^ >ay~uhaA {l~a*iyna 'aAmanu w^A@ <in~a maA {lo mu$orikuwna najasN fa laA yaqorabu wA@ {lo masojida {lo HaraAma baEoda EaAmi himo ha`*aA wa <ino xifo tumo EayolapF fa sawofa yugoniy kumu {ll~ahu min faDoli hi.^ <in $aA^'a <in~a {ll~aha EaliymN HakiymN,   Amn     $rk njs   qrb   sjd  Hrm bEd Ewm     xwf  Eyl   gny  Alh  fDl   $yA  Alh Elm Hkm
9,29,"qa`tilu wA@ {l~a*iyna laA yu&ominu wna bi {ll~ahi wa laA bi {lo yawomi {lo 'aAxiri wa laA yuHar~imu wna maA Har~ama {ll~ahu wa rasuwlu hu, wa laA yadiynu wna diyna {lo Haq~i mina {l~a*iyna >uwtu wA@ {lo kita`ba Hat~aY` yuEoTu wA@ {lo jizoyapa Ean yadK wa humo Sa`giruwna",qtl    Amn   Alh     ywm  Axr   Hrm   Hrm Alh  rsl    dyn  dyn  Hqq   Aty   ktb  ETw   jzy  ydy   Sgr
9,30,wa qaAlati {lo yahuwdu EuzayorN {bonu {ll~ahi wa qaAlati {l n~aSa`raY {lo masiyHu {bonu {ll~ahi *a`lika qawolu hum bi >afowa`hi himo yuDa`hi_#u wna qawola {l~a*iyna kafaru wA@ min qabolu qa`tala humu {ll~ahu >an~aY` yu&ofaku wna," qwl    bny Alh  qwl  nSr   bny Alh  qwl   fwh  DhA  qwl  kfr   qbl qtl  Alh Any
 Afk "
9,31,"{t~axa*u w^A@ >aHobaAra humo wa ruhoba`na humo >arobaAbFA m~in duwni {ll~ahi wa {lo masiyHa {bona maroyama wa maA^ >umiru w^A@ <il~aA li yaEobudu w^A@ <ila`hFA wa`HidFA l~aA^ <ila`ha <il~aA huwa suboHa`na hu, Ea m~aA yu$oriku wna",Ax*  Hbr   rhb  rbb  dwn Alh    bny    Amr    Ebd  Alh wHd  Alh   sbH    $rk 
9,32,"yuriydu wna >an yuTofi_#u wA@ nuwra {ll~ahi bi >afowa`hi himo wa ya>obaY {ll~ahu <il~aA^ >an yutim~a nuwra hu, wa lawo kariha {lo ka`firuwna",rwd   TfA  nwr Alh  fwh   Aby Alh   tmm nwr    krh  kfr
9,33,"huwa {l~a*iY^ >arosala rasuwla hu, bi {lo hudaY` wa diyni {lo Haq~i li yuZohira hu, EalaY {l d~iyni kul~i hi. wa lawo kariha {lo mu$orikuwna",  rsl rsl    hdy  dyn  Hqq  Zhr    dyn kll    krh  $rk
9,34,ya`^ >ay~uhaA {l~a*iyna 'aAmanu w^A@ <in~a kaviyrFA m~ina {lo >aHobaAri wa {l r~uhobaAni la ya>okulu wna >amowa`la {l n~aAsi bi {lo ba`Tili wa yaSud~u wna Ean sabiyli {ll~ahi wa {l~a*iyna yakonizu wna {l *~ahaba wa {lo fiD~apa wa laA yunfiqu wna haA fiY sabiyli {ll~ahi fa ba$~iro hum bi Ea*aAbK >aliymK,   Amn   kvr   Hbr   rhb  Akl  mwl  nws   bTl  Sdd   sbl Alh   knz   *hb   fDD   nfq    sbl Alh  b$r   E*b Alm
9,35,yawoma yuHomaY` Ealayo haA fiY naAri jahan~ama fa tukowaY` bi haA jibaAhu humo wa junuwbu humo wa Zuhuwru humo ha`*aA maA kanazo tumo li >anfusi kumo fa *uwqu wA@ maA kun tumo takonizu wna,ywm Hmy    nwr   kwy   jbh   jnb   Zhr    knz   nfs   *wq   kwn  knz 
9,36,<in~a Eid~apa {l $~uhuwri Einda {ll~ahi {vonaA Ea$ara $ahorFA fiY kita`bi {ll~ahi yawoma xalaqa {l s~ama`wa`ti wa {lo >aroDa mino haA^ >arobaEapN HurumN *a`lika {l d~iynu {lo qay~imu fa laA taZolimu wA@ fiy hin~a >anfusa kumo wa qa`tilu wA@ {lo mu$orikiyna kaA^f~apF ka maA yuqa`tilu wna kumo kaA^f~apF wa {Eolamu w^A@ >an~a {ll~aha maEa {lo mut~aqiyna, Edd  $hr End Alh vny E$r $hr  ktb Alh ywm xlq  smw   ArD   rbE Hrm   dyn  qwm   Zlm    nfs   qtl   $rk kff   qtl   kff  Elm   Alh   wqy
9,37,"<in~a maA {l n~asiY^'u ziyaAdapN fiY {lo kufori yuDal~u bi hi {l~a*iyna kafaru wA@ yuHil~u wna hu, EaAmFA wa yuHar~imu wna hu, EaAmFA l~i yuwaATi_#u wA@ Eid~apa maA Har~ama {ll~ahu fa yuHil~u wA@ maA Har~ama {ll~ahu zuy~ina la humo suw^'u >aEoma`li himo wa {ll~ahu laA yahodiY {lo qawoma {lo ka`firiyna",   nsA zyd   kfr Dll    kfr  Hll   Ewm  Hrm   Ewm  wTA  Edd  Hrm Alh  Hll   Hrm Alh zyn   swA Eml   Alh  hdy  qwm  kfr
